Date,Open,High,Low,Close,Volume,OpenInt
20140314,14.253,14.253,14.233,14.233,632,0
20140317,14.412,14.432,14.372,14.372,8510,0
20140318,14.491,14.511,14.491,14.511,3898,0
20140319,14.541,14.591,14.521,14.541,2809,0
20140320,14.462,14.481,14.362,14.462,2510,0
20140321,14.581,14.581,14.452,14.462,6635,0
20140324,14.392,14.392,14.283,14.372,4934,0
20140325,14.481,14.491,14.372,14.432,5677,0
20140326,14.521,14.521,14.392,14.392,4030,0
20140328,14.571,14.64,14.541,14.541,1914,0
20140331,14.71,14.739,14.7,14.739,6811,0
20140401,14.849,14.849,14.839,14.839,306,0
20140402,14.958,15.027,14.948,15.027,1213,0
20140403,14.998,14.998,14.928,14.928,662,0
20140404,14.739,14.739,14.739,14.739,526,0
20140407,14.63,14.7,14.63,14.64,1784,0
20140408,14.71,14.72,14.71,14.71,13832,0
20140409,14.739,14.819,14.739,14.749,2195,0
20140410,14.739,14.739,14.591,14.591,301,0
20140411,14.491,14.491,14.491,14.491,751,0
20140414,14.511,14.551,14.442,14.442,6303,0
20140415,14.392,14.432,14.184,14.432,1585,0
20140416,14.561,14.561,14.561,14.561,101,0
20140422,14.799,14.799,14.769,14.799,7171,0
20140423,14.759,14.759,14.759,14.759,353,0
20140424,14.591,14.591,14.591,14.591,101,0
20140425,14.392,14.392,14.392,14.392,907,0
20140428,14.313,14.392,14.243,14.243,2003,0
20140429,14.571,14.571,14.571,14.571,614,0
20140501,14.541,14.591,14.541,14.591,2428,0
20140502,14.759,14.759,14.759,14.759,1023,0
20140507,14.67,14.67,14.67,14.67,410,0
20140509,14.6,14.63,14.6,14.63,549,0
20140513,14.819,14.819,14.819,14.819,1372,0
20140514,14.888,14.888,14.888,14.888,166,0
20140515,14.62,14.62,14.62,14.62,156,0
20140519,14.69,14.69,14.69,14.69,738,0
20140520,14.65,14.65,14.65,14.65,206,0
20140521,14.71,14.71,14.71,14.71,332,0
20140522,14.739,14.739,14.739,14.739,605,0
20140527,14.789,14.789,14.779,14.779,226,0
20140528,14.878,14.878,14.819,14.839,605,0
20140529,14.868,14.898,14.859,14.859,1518,0
20140530,14.888,14.888,14.888,14.888,335,0
20140602,14.779,14.779,14.779,14.779,272,0
20140603,14.779,14.779,14.779,14.779,986,0
20140604,14.7,14.7,14.7,14.7,222,0
20140605,14.789,14.789,14.789,14.789,259,0
20140606,15.007,15.047,15.007,15.047,923,0
20140609,15.087,15.097,15.087,15.097,2636,0
20140610,15.246,15.246,15.246,15.246,705,0
20140611,15.315,15.315,15.315,15.315,504,0
20140612,15.226,15.226,15.226,15.226,890,0
20140616,15.275,15.275,15.275,15.275,127,0
20140617,15.236,15.325,15.236,15.325,584,0
20140618,15.404,15.404,15.404,15.404,403,0
20140619,15.553,15.593,15.533,15.533,4079,0
20140620,15.573,15.573,15.504,15.504,2190,0
20140623,15.543,15.593,15.543,15.593,1212,0
20140624,15.613,15.613,15.583,15.593,2776,0
20140625,15.553,15.563,15.553,15.563,9305,0
20140626,15.593,15.613,15.593,15.613,1639,0
20140627,15.593,15.613,15.593,15.613,1100,0
20140630,15.752,15.752,15.732,15.752,3323,0
20140701,15.881,15.911,15.881,15.911,6859,0
20140702,16,16,15.99,15.99,3829,0
20140707,15.95,16.069,15.94,15.94,2086,0
20140708,15.762,15.762,15.643,15.702,12003,0
20140709,15.762,15.871,15.742,15.871,5123,0
20140710,15.722,15.722,15.593,15.613,1292,0
20140714,15.891,15.95,15.891,15.95,12515,0
20140715,15.841,15.851,15.841,15.851,308,0
20140716,15.801,15.801,15.801,15.801,1174,0
20140717,15.712,15.712,15.712,15.712,1018,0
20140718,15.792,15.792,15.792,15.792,2801,0
20140721,15.861,15.921,15.861,15.921,1669,0
20140722,16.05,16.05,16.03,16.05,6085,0
20140724,16.05,16.089,16.05,16.069,1723,0
20140728,16.04,16.139,16.04,16.139,4942,0
20140729,16.208,16.208,16.03,16.03,7183,0
20140730,16.06,16.089,16.03,16.06,5531,0
20140731,16.079,16.079,15.663,15.663,939,0
20140801,15.583,15.692,15.484,15.583,9233,0
20140804,15.752,15.752,15.752,15.752,146,0
20140805,15.772,15.772,15.553,15.603,994,0
20140806,15.603,15.603,15.603,15.603,663,0
20140807,15.623,15.623,15.315,15.315,10764,0
20140808,15.524,15.524,15.524,15.524,152,0
20140811,15.682,15.682,15.682,15.682,101,0
20140812,15.712,15.712,15.712,15.712,172,0
20140813,15.742,15.742,15.722,15.722,2200,0
20140814,15.722,15.762,15.722,15.762,4534,0
20140815,15.881,15.881,15.752,15.841,3202,0
20140818,15.95,16.03,15.931,16.03,6390,0
