Date,Open,High,Low,Close,Volume,OpenInt
20140102,52.59,52.8,52.59,52.8,600,0
20140115,52.51,52.52,52.35,52.35,800,0
20140128,50.2,50.2,50.2,50.2,100,0
20140129,52.76,52.76,52.54,52.54,500,0
20140130,50.01,50.01,50.01,50.01,200,0
20140212,52.45,52.45,52.45,52.45,200,0
20140317,53.5,53.51,53.5,53.51,200,0
20140319,53.49,53.55,53.49,53.55,743,0
20140320,52.92,53.03,52.92,52.94,495,0
20140324,53.04,53.04,53.04,53.04,115,0
20140326,53.04,53.04,53.04,53.04,100,0
20140327,52.92,52.92,52.88,52.9,400,0
20140328,52.78,52.88,52.78,52.85,700,0
20140402,52.65,52.65,52.65,52.65,130,0
20140403,52.45,52.45,52.45,52.45,155,0
20140411,53.35,53.5,53.33,53.4,1200,0
20140415,53.1,53.1,52.8,53.1,311,0
20140425,53.17,53.25,53.15,53.22,1394,0
20140502,53.28,53.38,53.28,53.38,2516,0
20140505,53.31,53.42,53.3,53.31,4360,0
20140506,53.52,53.61,53.5,53.58,1870,0
20140507,53.45,53.53,53.45,53.52,510,0
20140508,53.23,53.3,53.23,53.3,620,0
20140512,52.8,53.05,52.77,52.97,7902,0
20140516,52.42,52.74,52.39,52.39,4600,0
20140519,52.42,52.42,52.42,52.42,200,0
20140522,52.29,52.45,52.29,52.31,1700,0
20140529,52.19,52.23,52.19,52.23,400,0
20140616,52,52,52,52,170,0
20140620,51.97,52.28,51.97,52.28,1923,0
20140627,52.55,52.55,52.55,52.55,405,0
20140702,52.55,52.55,52.55,52.55,100,0
20140708,52.2,52.32,52.17,52.32,2246,0
20140709,52.26,52.41,52.26,52.38,1600,0
20140711,52.06,52.3,52.06,52.24,4238,0
20140714,52.16,52.3,52.16,52.3,2100,0
20140715,51.87,52.15,51.87,52.05,3838,0
20140716,51.72,52.05,51.72,52.05,3305,0
20140721,51.85,51.99,51.75,51.87,3001,0
20140722,51.61,51.77,51.6,51.63,5100,0
20140723,51.63,51.79,51.45,51.45,9611,0
20140724,51.73,51.82,51.58,51.66,13800,0
20140725,51.64,51.65,51.52,51.55,3002,0
